PRACTICE,SUB_CHAPTER,ITEMS,NIC,ACT COST,QUANTITY,ClusterNumber
discrete,continuous,continuous,continuous,continuous,continuous,continuous
,,,,,,
A87029,601021.0,124.0,370.8,350.26,5793.0,2.0
A87030,601021.0,99.0,139.7,134.1,4620.0,2.0
A87600,601021.0,70.0,158.45,150.82,3724.0,1.0
A87612,601021.0,105.0,227.51,217.81,4830.0,1.0
A87615,601021.0,70.0,210.71,198.52,5721.0,1.0
A88001,601021.0,95.0,268.48,254.68,3301.0,3.0
A88002,601021.0,251.0,1047.25,987.2,10287.0,1.0
A88003,601021.0,143.0,275.33,266.98,4612.0,3.0
A88004,601021.0,90.0,475.49,444.24,5814.0,2.0
A88005,601021.0,93.0,303.67,284.39,3850.0,2.0
A88006,601021.0,108.0,477.84,448.15,9076.0,2.0
A88007,601021.0,108.0,574.48,536.9,7982.0,1.0
A88008,601021.0,146.0,488.39,462.28,5253.0,2.0
A88009,601021.0,90.0,272.99,254.48,7250.0,1.0
A88010,601021.0,137.0,325.58,307.37,5387.0,3.0
A88012,601021.0,132.0,277.08,262.86,5827.0,1.0
A88013,601021.0,292.0,1067.16,1008.06,14299.0,1.0
A88014,601021.0,35.0,94.79,90.12,1322.0,2.0
A88015,601021.0,177.0,478.45,452.84,7441.0,2.0
A88016,601021.0,140.0,436.72,414.53,6128.0,1.0
A88022,601021.0,147.0,396.2,373.61,6598.0,1.0
A88023,601021.0,107.0,346.69,325.85,5918.0,3.0
A88025,601021.0,50.0,252.56,235.05,4374.0,2.0
A88601,601021.0,38.0,184.46,173.65,1880.0,3.0
A88603,601021.0,5.0,15.59,14.5,252.0,2.0
A88608,601021.0,97.0,424.92,396.09,5990.0,3.0
A88613,601021.0,78.0,244.72,230.23,5118.0,3.0
A89001,601021.0,385.0,816.02,779.69,13707.0,2.0
A89002,601021.0,106.0,250.58,240.24,3801.0,2.0
A89004,601021.0,386.0,894.57,860.75,12323.0,3.0
A89005,601021.0,68.0,235.63,223.98,2953.0,3.0
A89006,601021.0,160.0,440.69,417.84,7146.0,2.0
A89007,601021.0,127.0,388.88,368.58,5955.0,1.0
A89008,601021.0,121.0,335.02,316.72,4946.0,2.0
A89009,601021.0,130.0,206.85,197.91,6610.0,1.0
A89010,601021.0,221.0,450.54,434.75,9883.0,3.0
A89011,601021.0,92.0,274.51,259.96,4401.0,1.0
A89012,601021.0,303.0,546.2,527.5,9762.0,1.0
A89013,601021.0,151.0,250.76,241.44,7625.0,3.0
A89014,601021.0,6.0,4.56,4.7,168.0,1.0
A89015,601021.0,98.0,355.56,334.78,6647.0,3.0
A89016,601021.0,108.0,221.52,213.41,4197.0,1.0
A89017,601021.0,183.0,634.5,600.18,8701.0,2.0
A89018,601021.0,115.0,342.57,324.04,5745.0,2.0
A89019,601021.0,290.0,736.18,696.87,14990.0,2.0
A89020,601021.0,125.0,339.28,320.42,6977.0,1.0
A89021,601021.0,143.0,375.22,359.03,5973.0,1.0
A89022,601021.0,91.0,371.35,350.29,3876.0,3.0
A89023,601021.0,179.0,376.75,359.97,8877.0,3.0
A89024,601021.0,100.0,216.35,206.22,4858.0,3.0
A89025,601021.0,232.0,487.12,465.44,9653.0,0.0
A89026,601021.0,29.0,102.84,96.21,1122.0,3.0
A89027,601021.0,114.0,236.86,229.0,3800.0,1.0
A89028,601021.0,153.0,340.79,325.55,5421.0,1.0
A89030,601021.0,190.0,381.33,366.47,7151.0,1.0
A89031,601021.0,66.0,139.51,134.74,1641.0,2.0
A89032,601021.0,181.0,455.96,432.98,8547.0,1.0
A89034,601021.0,63.0,114.01,109.68,1904.0,0.0
A89035,601021.0,223.0,405.71,391.63,7161.0,1.0
A89036,601021.0,37.0,98.98,93.04,1743.0,2.0
A89040,601021.0,86.0,226.2,212.86,4403.0,3.0
A89041,601021.0,111.0,293.94,280.63,4941.0,2.0
A89603,601021.0,36.0,126.64,119.46,1307.0,2.0
A89604,601021.0,73.0,133.14,127.91,2793.0,2.0
A89612,601021.0,39.0,61.08,59.26,1198.0,0.0
A89614,601021.0,89.0,201.74,190.14,4578.0,2.0
A89616,601021.0,42.0,121.9,115.32,2340.0,1.0
A89617,601021.0,83.0,185.39,175.56,3099.0,1.0
A89620,601021.0,92.0,196.97,185.99,4694.0,3.0
A89623,601021.0,39.0,144.84,136.35,3298.0,1.0
A89624,601021.0,45.0,66.97,64.38,1661.0,2.0
B81002,601021.0,51.0,155.7,145.05,3640.0,2.0
B81003,601021.0,255.0,749.15,705.17,10918.0,3.0
B81004,601021.0,185.0,593.0,555.15,7604.0,3.0
B81005,601021.0,222.0,872.62,814.24,9401.0,3.0
B81006,601021.0,100.0,401.9,375.09,10320.0,3.0
B81007,601021.0,103.0,351.78,326.57,5516.0,3.0
B81008,601021.0,365.0,927.3,874.54,18028.0,2.0
B81009,601021.0,76.0,198.42,185.8,4773.0,3.0
B81010,601021.0,144.0,439.29,414.08,6416.0,3.0
B81011,601021.0,178.0,364.56,345.65,9057.0,2.0
B81012,601021.0,99.0,214.74,201.84,6056.0,2.0
B81013,601021.0,85.0,363.69,343.31,4132.0,1.0
B81014,601021.0,62.0,190.12,177.97,4097.0,3.0
B81015,601021.0,279.0,677.68,638.04,15434.0,2.0
B81016,601021.0,119.0,273.39,256.38,6526.0,2.0
B81017,601021.0,120.0,329.98,309.0,6892.0,2.0
B81018,601021.0,133.0,207.57,199.39,5572.0,2.0
B81020,601021.0,120.0,281.9,263.88,7866.0,2.0
B81021,601021.0,78.0,313.06,292.63,6048.0,3.0
B81022,601021.0,216.0,525.34,493.05,10337.0,3.0
B81023,601021.0,41.0,180.02,168.04,3234.0,3.0
B81024,601021.0,73.0,449.97,421.0,5686.0,3.0
B81025,601021.0,351.0,846.6,789.92,23760.0,3.0
B81026,601021.0,214.0,544.79,507.56,14172.0,2.0
B81027,601021.0,159.0,312.33,297.63,7532.0,2.0
B81029,601021.0,167.0,621.37,577.1,11892.0,3.0
B81030,601021.0,125.0,556.63,519.04,11829.0,3.0
B81031,601021.0,133.0,434.25,409.16,11364.0,1.0
B81032,601021.0,65.0,164.61,156.67,2101.0,2.0
B81034,601021.0,150.0,432.49,402.44,9377.0,3.0
B81035,601021.0,85.0,214.96,201.95,4085.0,1.0
B81036,601021.0,178.0,541.78,506.09,12090.0,3.0
B81037,601021.0,163.0,402.8,375.07,12030.0,3.0
B81038,601021.0,154.0,362.3,340.88,11386.0,2.0
B81039,601021.0,428.0,1322.49,1229.75,30164.0,3.0
B81040,601021.0,139.0,400.87,378.75,6141.0,2.0
B81041,601021.0,38.0,114.73,106.76,1588.0,3.0
B81042,601021.0,147.0,317.19,298.21,6674.0,3.0
B81043,601021.0,252.0,908.44,845.6,10722.0,3.0
