PRACTICE,SUB_CHAPTER,ITEMS,NIC,ACT COST,QUANTITY,ClusterNumber
A83066,601011,47,1854.25,1718.17,282,2
A83066,601012,99,4024.66,3729.68,623,2
A83070,601011,22,894.41,828.71,144,3
A83070,601012,41,1737.67,1610.05,248,3
A83071,601011,16,879.21,814.61,133,1
A83071,601012,35,1703.78,1578.62,260,1
A83072,601011,13,496.49,460.05,61,3
A83072,601012,23,1032.17,956.36,170,3
A83073,601011,40,1792.91,1661.23,280,3
A83073,601012,60,2794.97,2589.66,401,3
A83074,601011,56,2227.53,2064.03,357,2
A83074,601012,142,6700.9,6208.93,962,2
A83075,601011,16,544.69,504.75,95,3
A83075,601012,42,1495.61,1385.87,245,3
A83076,601011,17,637.9,591.09,97,3
A83076,601012,29,1028.02,952.6,160,3
A83603,601011,13,547.89,507.67,79,2
A83603,601012,21,816.68,756.83,129,2
A83610,601011,20,725.85,672.61,112,2
A83610,601012,40,2096.22,1942.19,325,2
A83616,601011,5,149.42,138.47,22,2
A83616,601012,30,1140.27,1056.56,215,2
A83617,601011,5,148.27,137.39,22,1
A83617,601012,14,443.61,411.26,73,1
A83618,601011,26,1001.09,927.61,162,1
A83618,601012,30,1577.28,1461.32,184,1
A83619,601011,29,1841.64,1706.23,291,2
A83619,601012,40,2134.32,1977.47,355,2
A83622,601011,9,295.25,273.5,41,3
A83622,601012,20,758.38,702.54,125,3
A83626,601011,14,550.86,510.31,85,3
A83626,601012,27,1134.63,1051.06,158,3
A83627,601011,27,1228.64,1138.39,198,2
A83627,601012,58,2541.56,2354.93,430,2
A83630,601011,14,509.23,471.97,74,2
A83630,601012,20,1092.01,1011.77,145,2
A83632,601011,13,562.33,521.04,80,2
A83632,601012,26,1259.83,1167.28,180,2
A83634,601011,13,539.35,499.75,90,2
A83634,601012,34,1187.72,1100.58,195,2
A83635,601011,25,1070.63,992.01,156,1
A83635,601012,36,1883.49,1745.1,265,1
A83636,601011,33,1426.35,1321.62,210,1
A83636,601012,48,1654.55,1533.29,253,1
A83637,601011,9,334.31,309.78,55,2
A83637,601012,33,1535.58,1422.79,245,2
A83641,601011,14,526.31,487.7,86,2
A83641,601012,41,1267.32,1175.3,209,2
A83644,601011,11,442.97,410.45,75,2
A83644,601012,30,1485.74,1376.61,219,2
A84002,601011,21,951.27,881.42,145,3
A84002,601012,29,1285.4,1191.04,255,3
A84003,601011,34,1523.05,1411.3,259,1
A84003,601012,155,7316.94,6779.7,1578,1
A84005,601011,26,1062.11,984.16,177,1
A84005,601012,87,4042.71,3745.87,803,1
A84006,601011,67,2976.08,2757.53,526,3
A84006,601012,167,6453.47,5979.68,1397,3
A84007,601011,42,1784.42,1653.3,295,3
A84007,601012,98,4085.31,3785.18,709,3
A84008,601011,32,1236.78,1145.87,220,3
A84008,601012,84,3658,3389.1,560,3
A84009,601011,93,3953.89,3663.63,698,1
A84009,601012,266,11503,10658.44,2265,1
A84011,601011,17,823.35,762.87,141,3
A84011,601012,36,1965.58,1821.01,373,3
A84013,601011,26,1385.65,1283.85,220,2
A84013,601012,70,3220.68,2984.12,637,2
A84014,601011,29,1446.84,1340.58,205,3
A84014,601012,112,5096.45,4722.15,1012,3
A84015,601011,13,453.13,419.9,82,2
A84015,601012,29,1150.46,1066.12,235,2
A84016,601011,21,961.3,890.7,151,1
A84016,601012,37,1980.48,1834.95,415,1
A84018,601011,13,596.51,552.65,99,3
A84018,601012,46,2038.16,1888.26,385,3
A84020,601011,25,1231.05,1140.64,191,3
A84020,601012,86,4096.88,3795.91,889,3
A84022,601011,28,1507.49,1396.71,259,3
A84022,601012,127,5565.04,5156.39,1198,3
A84024,601011,19,1279.99,1185.87,191,3
A84024,601012,56,2801.16,2595.34,505,3
A84025,601011,10,546.3,506.16,80,3
A84025,601012,32,1637.83,1517.5,353,3
A84026,601011,24,1307.93,1211.84,230,3
A84026,601012,91,4312.77,3996.09,835,3
A84027,601011,14,756.75,701.16,134,3
A84027,601012,38,1647.91,1526.91,294,3
A84028,601011,67,3319.23,3075.44,628,2
A84028,601012,210,9514.29,8815.54,2042,2
A84029,601011,15,519.89,481.56,90,3
A84029,601012,29,1181.84,1094.71,215,3
A84030,601011,24,1360.55,1260.54,220,3
A84030,601012,102,4334.26,4016.01,855,3
A84031,601011,28,1686.41,1562.46,283,3
A84031,601012,57,2674.08,2477.86,528,3
A84032,601011,9,319.97,296.48,43,3
A84032,601012,24,929.3,860.97,175,3
A84033,601011,14,762.83,706.78,110,3
A84033,601012,32,1109.86,1028.56,220,3
A84034,601011,23,1046.28,969.66,164,3
A84034,601012,49,2134.49,1977.72,425,3
A84035,601011,26,1403.99,1300.81,224,3
A84035,601012,52,2165.88,2006.85,392,3
A84036,601011,66,3053.94,2829.78,519,3
A84036,601012,193,8126.64,7530.1,1689,3
A84037,601011,19,877.54,813.11,155,3
A84037,601012,61,2581.59,2392.04,551,3
A84038,601011,23,1047.99,971.05,175,3
A84038,601012,72,3677.58,3407.34,689,3
A84039,601011,21,1230.3,1139.93,166,3
A84039,601012,42,2283.81,2115.86,460,3
A84040,601011,11,535.43,495.97,95,3
A84040,601012,28,1386.18,1284,250,3
A84042,601011,10,405.56,375.74,52,3
A84042,601012,15,638.11,591.07,130,3
A84043,601011,63,2622.24,2429.74,432,1
A84043,601012,161,7275.24,6740.95,1350,1
A84044,601011,35,1334.8,1236.79,194,3
A84044,601012,62,2717.79,2518.03,502,3
A84045,601011,19,984.96,912.51,140,3
A84045,601012,41,1695.82,1571.22,323,3
A84047,601011,14,755.78,700.2,120,3
A84047,601012,33,1553.55,1439.37,300,3
A84604,601011,14,671.78,622.32,110,3
A84604,601012,32,1086.26,1006.41,217,3
A84609,601011,1,30.6,28.34,5,3
A84609,601012,6,296,274.18,50,3
A84614,601011,7,395.89,366.79,61,3
A84614,601012,17,1137.39,1053.75,209,3
A84619,601011,14,571.31,529.39,103,1
A84619,601012,32,1696.33,1571.7,322,1
A85001,601011,23,1256.64,1164.31,220,1
A85001,601012,35,1799.26,1667.05,280,1
A85002,601011,7,308.33,285.68,45,3
A85002,601012,40,2052.19,1901.42,310,3
A85003,601011,26,1330.3,1232.57,205,3
A85003,601012,73,3600.92,3336.57,562,3
A85004,601011,31,1931.75,1789.74,293,2
A85004,601012,82,4030.74,3734.92,609,2
A85005,601011,52,2422.33,2244.42,393,2
A85005,601012,126,6511.8,6033.48,991,2
A85006,601011,18,1077.59,998.36,158,1
A85006,601012,70,3094.32,2867.08,535,1
A85007,601011,23,1054.71,977.25,175,1
A85007,601012,49,2375.35,2201.14,336,1
A85008,601011,59,2772.37,2568.74,463,3
A85008,601012,142,6969.59,6457.75,1054,3
A85009,601011,24,1201.97,1113.65,199,2
A85009,601012,54,2526.39,2340.82,425,2
A85010,601011,38,2172.49,2012.84,324,1
A85010,601012,88,4782.56,4431.29,718,1
A85011,601011,32,1529.51,1417.18,244,2
A85011,601012,59,2892.27,2679.93,408,2
A85012,601011,16,1032.1,956.21,190,2
A85012,601012,33,2006.97,1859.42,281,2
A85013,601011,8,366.74,339.8,54,2
A85013,601012,34,1662.52,1540.48,275,2
A85014,601011,28,1360.49,1260.55,231,3
A85014,601012,65,3441.84,3188.89,523,3
A85016,601011,36,1330.87,1233.33,235,2
A85016,601012,85,3306.51,3064.44,511,2
A85017,601011,15,752.8,697.5,110,0
A85017,601012,19,1165.76,1080.06,159,0
A85018,601011,17,669,619.91,106,3
A85018,601012,36,1760.14,1630.86,271,3
A85019,601011,23,1077.64,998.51,170,2
A85019,601012,70,3265.5,3025.64,557,2
A85020,601011,47,2515.81,2331.05,392,3
A85020,601012,126,6246.62,5787.61,924,3
A85021,601011,7,209.22,193.89,40,0
A85021,601012,14,466.45,432.25,82,0
A85023,601011,15,626.5,580.52,92,2
A85023,601012,34,1835.96,1701.17,286,2
A85024,601011,8,516.3,478.34,92,3
A85024,601012,17,1140.52,1056.66,175,3
A85026,601011,13,530.79,491.93,97,1
A85026,601012,32,1458.55,1351.51,235,1
A85609,601011,6,213.13,197.5,37,3
A85609,601012,11,433.79,401.95,79,3
