PRACTICE,ITEMS  ,NIC        ,ACT COST   ,QUANTITY,PERIOD
C83633,8307,65225.33,60581.169999999904,620699,252140000
C83634,12068,77511.66999999997,72173.82999999994,571807,287641312
C83635,15629,132046.6100000001,122506.4200000001,1032562,329395696
C83637,9032,64363.10000000002,59913.04999999995,483719,267066688
C83641,12847,84735.83999999998,78612.21000000002,698391,284212208
C83643,6335,40463.130000000005,37488.96000000002,426965,182145936
C83649,8065,66234.46000000008,61385.24999999997,439537,245483504
C83650,14431,101208.6999999998,93925.05999999997,745833,315477568
C83652,30,267.99,249.9,1427,4437664
C83653,3197,27826.060000000038,25782.780000000006,209213,145636064
Y00137,7751,58944.66999999998,54928.3,645598,231767088
Y00252,4278,29197.50000000002,27638.770000000008,235393,152494272
Y00280,2900,23608.989999999987,21927.440000000024,265427,125061440
Y00344,1192,6384.659999999996,5993.9100000000035,77618,68783792
Y00401,500,1822.2499999999998,1700.5800000000006,24186,32677344
Y00534,695,3032.1399999999994,2830.2899999999995,34188,43771504
Y00752,461,1863.81,1742.4800000000005,22651,25819136
Y00753,418,1510.9700000000003,1413.2599999999993,18746,27634544
Y01101,2,55.440000000000005,51.38,221,403424
Y01106,108,395.9299999999999,369.0,6016,9480464
Y01184,4,12.219999999999999,11.469999999999999,218,605136
Y01652,20272,108208.95000000001,100304.44999999987,920417,286431040
Y01834,141,385.18,361.93999999999977,7080,14321552
Y02077,1682,7878.63,7374.930000000002,73949,73423168
Y02365,34,156.2,146.4,1397,5244512
Y02469,9181,68057.15000000004,63337.640000000014,1143174,253551984
Y02470,2480,10229.460000000003,9565.259999999995,144810,75238576
Y02686,3028,30437.38000000001,28367.449999999986,391204,144627504
Y02724,1092,4113.0999999999985,3848.960000000001,41924,42964656
Y03044,120,657.7799999999999,612.9000000000001,4030,13918128
Y03160,162,529.5500000000004,495.64999999999986,6236,13918128
Y03312,892,3183.5100000000016,2977.4700000000003,43032,34089328
Y03344,22,72.01,67.38000000000001,1247,3227392
Y03487,1497,16405.51,15444.429999999995,552467,6454784
Y03488,1267,9192.380000000001,8746.81,496106,3227392
Y03489,603,4098.92,3904.74,261294,3429104
Y03584,38,498.77999999999986,463.4599999999999,2024,6454784
Y03587,8418,66397.40000000008,61865.37000000001,718576,241449264
